category,service_item,standard_fee_inr,late_surcharge_inr,conditions_and_deadlines
tuition,odd_semester_btech,75000,50_per_day_after_july_15,due_date_july_15_freeze_august_20
tuition,even_semester_btech,75000,50_per_day_after_jan_05,due_date_jan_05_freeze_feb_10
tuition,odd_semester_mba,65000,50_per_day_after_july_15,due_date_july_15_freeze_august_20
tuition,even_semester_mba,65000,50_per_day_after_jan_05,due_date_jan_05_freeze_feb_10
hostel,triple_sharing_non_ac,85000,0,strictly_non_refundable_once_key_issued
hostel,twin_sharing_non_ac,100000,0,strictly_non_refundable_once_key_issued
hostel,twin_sharing_air_cooled,115000,0,strictly_non_refundable_once_key_issued
hostel,mess_annual_charges,55000,0,mandatory_for_all_hostellers
hostel,security_caution_deposit,10000,0,refundable_with_2000_administrative_deduction
transport,indore_city_zone_1,24000,0,payable_per_annum_non_refundable
transport,suburbs_zone_2,20000,0,payable_per_annum_non_refundable
transport,outstation_zone_3,28000,0,payable_per_annum_non_refundable
examination,regular_semester_fee,2500,500_to_1500,due_15_days_before_exam_commencement
examination,backlog_per_paper,600,500,maximum_2400_per_semester
examination,retotaling_per_subject,300,0,apply_within_7_days_of_results
examination,challenge_revaluation,1500,0,apply_within_10_days_of_retotaling
certification,duplicate_id_card,500,0,takes_5_working_days_in_admin_block
certification,migration_certificate,500,500_for_urgent,standard_dispatch_10_days
